BioSample_s	BioSampleModel_s	Cultivar_s	Experiment_s	ID_s	InsertSize_l	LibraryLayout_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Plant_s	ReleaseDate_s	Rice_Field_s	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	env_biome_s	env_feature_s	env_material_s	geo_loc_name_s	host_s	lat_lon_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN02929805	MIMS.me	93-11	SRX660243	JE.Soil.134	250	PAIRED	GHRun1	2016-06-09	16	10	<not provided>	2014-07-26	<not provided>	SRR1524652	SRS665242	JE.Soil.134	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Sacramento, California	Oryza sativa	38.58575 N 121.596911 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928959	MIMS.me	<not provided>	SRX660121	<not provided>	250	PAIRED	FieldRun1	2016-06-09	44	29	6	2014-07-26	SFT20A	SRR1524653	SRS665120	JE.Lundberg.89	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.15056 N 121.98417 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929806	MIMS.me	93-11	SRX660244	JE.Soil.135	250	PAIRED	GHRun1	2016-06-09	13	7	<not provided>	2014-07-26	<not provided>	SRR1524654	SRS665243	JE.Soil.135	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Sacramento, California	Oryza sativa	38.58575 N 121.596911 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929807	MIMS.me	93-11	SRX660245	JE.Soil.136	250	PAIRED	GHRun1	2016-06-09	27	16	<not provided>	2014-07-26	<not provided>	SRR1524655	SRS665244	JE.Soil.136	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Sacramento, California	Oryza sativa	38.58575 N 121.596911 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928960	MIMS.me	<not provided>	SRX660123	<not provided>	250	PAIRED	FieldRun1	2016-06-09	49	32	6	2014-07-26	SFT20A	SRR1524657	SRS665121	JE.Lundberg.90	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.15056 N 121.98417 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928961	MIMS.me	<not provided>	SRX660126	<not provided>	250	PAIRED	FieldRun1	2016-06-09	46	31	7	2014-07-26	SFT20A	SRR1524659	SRS665125	JE.Lundberg.91	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.15056 N 121.98417 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928962	MIMS.me	<not provided>	SRX660127	<not provided>	250	PAIRED	FieldRun1	2016-06-09	42	28	7	2014-07-26	SFT20A	SRR1524661	SRS665126	JE.Lundberg.92	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.15056 N 121.98417 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928963	MIMS.me	<not provided>	SRX660129	<not provided>	250	PAIRED	FieldRun1	2016-06-09	38	25	7	2014-07-26	SFT20A	SRR1524663	SRS665128	JE.Lundberg.93	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.15056 N 121.98417 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928964	MIMS.me	<not provided>	SRX660131	<not provided>	250	PAIRED	FieldRun1	2016-06-09	63	42	8	2014-07-26	SFT20A	SRR1524665	SRS665130	JE.Lundberg.94	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.15056 N 121.98417 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928965	MIMS.me	<not provided>	SRX660133	<not provided>	250	PAIRED	FieldRun1	2016-06-09	43	29	8	2014-07-26	SFT20A	SRR1524668	SRS665132	JE.Lundberg.95	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.15056 N 121.98417 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928966	MIMS.me	<not provided>	SRX660136	<not provided>	250	PAIRED	FieldRun1	2016-06-09	44	30	8	2014-07-26	SFT20A	SRR1524670	SRS665135	JE.Lundberg.96	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.15056 N 121.98417 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928967	MIMS.me	<not provided>	SRX660137	<not provided>	250	PAIRED	FieldRun1	2016-06-09	45	30	1	2014-07-26	BB_P4	SRR1524673	SRS665136	JE.Lundberg.145	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928968	MIMS.me	<not provided>	SRX660139	<not provided>	250	PAIRED	FieldRun1	2016-06-09	48	32	1	2014-07-26	BB_P4	SRR1524674	SRS665138	JE.Lundberg.146	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928969	MIMS.me	<not provided>	SRX660141	<not provided>	250	PAIRED	FieldRun1	2016-06-09	42	29	1	2014-07-26	BB_P4	SRR1524675	SRS665140	JE.Lundberg.147	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928970	MIMS.me	<not provided>	SRX660143	<not provided>	250	PAIRED	FieldRun1	2016-06-09	68	45	2	2014-07-26	BB_P4	SRR1524677	SRS665142	JE.Lundberg.148	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928971	MIMS.me	<not provided>	SRX660145	<not provided>	250	PAIRED	FieldRun1	2016-06-09	44	29	2	2014-07-26	BB_P4	SRR1524679	SRS665144	JE.Lundberg.149	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928972	MIMS.me	<not provided>	SRX660147	<not provided>	250	PAIRED	FieldRun1	2016-06-09	45	30	2	2014-07-26	BB_P4	SRR1524682	SRS665146	JE.Lundberg.150	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928973	MIMS.me	<not provided>	SRX660149	<not provided>	250	PAIRED	FieldRun1	2016-06-09	44	29	3	2014-07-26	BB_P4	SRR1524684	SRS665148	JE.Lundberg.151	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928974	MIMS.me	<not provided>	SRX660150	<not provided>	250	PAIRED	FieldRun1	2016-06-09	40	27	3	2014-07-26	BB_P4	SRR1524686	SRS665149	JE.Lundberg.152	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928975	MIMS.me	<not provided>	SRX660152	<not provided>	250	PAIRED	FieldRun1	2016-06-09	39	26	3	2014-07-26	BB_P4	SRR1524687	SRS665151	JE.Lundberg.153	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928976	MIMS.me	<not provided>	SRX660154	<not provided>	250	PAIRED	FieldRun1	2016-06-09	57	38	4	2014-07-26	BB_P4	SRR1524688	SRS665153	JE.Lundberg.154	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928977	MIMS.me	<not provided>	SRX660156	<not provided>	250	PAIRED	FieldRun1	2016-06-09	22	15	4	2014-07-26	BB_P4	SRR1524690	SRS665155	JE.Lundberg.155	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928978	MIMS.me	<not provided>	SRX660158	<not provided>	250	PAIRED	FieldRun1	2016-06-09	44	29	4	2014-07-26	BB_P4	SRR1524691	SRS665157	JE.Lundberg.156	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928979	MIMS.me	<not provided>	SRX660160	<not provided>	250	PAIRED	FieldRun1	2016-06-09	62	41	5	2014-07-26	BB_P4	SRR1524692	SRS665159	JE.Lundberg.157	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928980	MIMS.me	<not provided>	SRX660162	<not provided>	250	PAIRED	FieldRun1	2016-06-09	61	41	5	2014-07-26	BB_P4	SRR1524694	SRS665161	JE.Lundberg.158	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928981	MIMS.me	<not provided>	SRX660163	<not provided>	250	PAIRED	FieldRun1	2016-06-09	44	29	5	2014-07-26	BB_P4	SRR1524696	SRS665162	JE.Lundberg.159	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928982	MIMS.me	<not provided>	SRX660165	<not provided>	250	PAIRED	FieldRun1	2016-06-09	65	43	6	2014-07-26	BB_P4	SRR1524702	SRS665164	JE.Lundberg.160	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928983	MIMS.me	<not provided>	SRX660167	<not provided>	250	PAIRED	FieldRun1	2016-06-09	55	37	6	2014-07-26	BB_P4	SRR1524706	SRS665166	JE.Lundberg.161	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928984	MIMS.me	<not provided>	SRX660170	<not provided>	250	PAIRED	FieldRun1	2016-06-09	47	31	6	2014-07-26	BB_P4	SRR1524708	SRS665169	JE.Lundberg.162	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928985	MIMS.me	<not provided>	SRX660172	<not provided>	250	PAIRED	FieldRun1	2016-06-09	78	52	7	2014-07-26	BB_P4	SRR1524710	SRS665171	JE.Lundberg.163	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928986	MIMS.me	<not provided>	SRX660173	<not provided>	250	PAIRED	FieldRun1	2016-06-09	68	46	7	2014-07-26	BB_P4	SRR1524712	SRS665172	JE.Lundberg.164	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928987	MIMS.me	<not provided>	SRX660175	<not provided>	250	PAIRED	FieldRun1	2016-06-09	39	26	7	2014-07-26	BB_P4	SRR1524714	SRS665174	JE.Lundberg.165	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928988	MIMS.me	<not provided>	SRX660178	<not provided>	250	PAIRED	FieldRun1	2016-06-09	55	37	8	2014-07-26	BB_P4	SRR1524716	SRS665177	JE.Lundberg.166	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928989	MIMS.me	<not provided>	SRX660179	<not provided>	250	PAIRED	FieldRun1	2016-06-09	76	52	8	2014-07-26	BB_P4	SRR1524718	SRS665178	JE.Lundberg.167	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928990	MIMS.me	<not provided>	SRX660180	<not provided>	250	PAIRED	FieldRun1	2016-06-09	51	34	8	2014-07-26	BB_P4	SRR1524721	SRS665179	JE.Lundberg.168	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.79778 N 121.435 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928991	MIMS.me	<not provided>	SRX660182	<not provided>	250	PAIRED	FieldRun1	2016-06-09	44	30	1	2014-07-26	Scheidec	SRR1524722	SRS665181	JE.Lundberg.169	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928992	MIMS.me	<not provided>	SRX660184	<not provided>	250	PAIRED	FieldRun1	2016-06-09	70	47	1	2014-07-26	Scheidec	SRR1524723	SRS665183	JE.Lundberg.170	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928993	MIMS.me	<not provided>	SRX660186	<not provided>	250	PAIRED	FieldRun1	2016-06-09	35	24	1	2014-07-26	Scheidec	SRR1524724	SRS665185	JE.Lundberg.171	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928994	MIMS.me	<not provided>	SRX660189	<not provided>	250	PAIRED	FieldRun1	2016-06-09	52	34	2	2014-07-26	Scheidec	SRR1524726	SRS665188	JE.Lundberg.172	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928995	MIMS.me	<not provided>	SRX660191	<not provided>	250	PAIRED	FieldRun1	2016-06-09	46	31	2	2014-07-26	Scheidec	SRR1524728	SRS665190	JE.Lundberg.173	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928997	MIMS.me	<not provided>	SRX660195	<not provided>	250	PAIRED	FieldRun1	2016-06-09	60	40	3	2014-07-26	Scheidec	SRR1524730	SRS665192	JE.Lundberg.175	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928996	MIMS.me	<not provided>	SRX660194	<not provided>	250	PAIRED	FieldRun1	2016-06-09	61	40	2	2014-07-26	Scheidec	SRR1524732	SRS665194	JE.Lundberg.174	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928998	MIMS.me	<not provided>	SRX660197	<not provided>	250	PAIRED	FieldRun1	2016-06-09	32	21	3	2014-07-26	Scheidec	SRR1524734	SRS665196	JE.Lundberg.176	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928999	MIMS.me	<not provided>	SRX660198	<not provided>	250	PAIRED	FieldRun1	2016-06-09	57	38	3	2014-07-26	Scheidec	SRR1524736	SRS665197	JE.Lundberg.177	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929000	MIMS.me	<not provided>	SRX660200	<not provided>	250	PAIRED	FieldRun1	2016-06-09	117	79	4	2014-07-26	Scheidec	SRR1524738	SRS665199	JE.Lundberg.178	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929001	MIMS.me	<not provided>	SRX660203	<not provided>	250	PAIRED	FieldRun1	2016-06-09	50	33	4	2014-07-26	Scheidec	SRR1524740	SRS665202	JE.Lundberg.180	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929002	MIMS.me	<not provided>	SRX660205	<not provided>	250	PAIRED	FieldRun1	2016-06-09	64	43	5	2014-07-26	Scheidec	SRR1524743	SRS665204	JE.Lundberg.181	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929003	MIMS.me	<not provided>	SRX660208	<not provided>	250	PAIRED	FieldRun1	2016-06-09	44	30	5	2014-07-26	Scheidec	SRR1524745	SRS665206	JE.Lundberg.182	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929004	MIMS.me	<not provided>	SRX660209	<not provided>	250	PAIRED	FieldRun1	2016-06-09	53	35	5	2014-07-26	Scheidec	SRR1524747	SRS665208	JE.Lundberg.183	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929005	MIMS.me	<not provided>	SRX660213	<not provided>	250	PAIRED	FieldRun1	2016-06-09	51	34	6	2014-07-26	Scheidec	SRR1524749	SRS665212	JE.Lundberg.186	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929006	MIMS.me	<not provided>	SRX660215	<not provided>	250	PAIRED	FieldRun1	2016-06-09	48	32	7	2014-07-26	Scheidec	SRR1524751	SRS665214	JE.Lundberg.187	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929007	MIMS.me	<not provided>	SRX660217	<not provided>	250	PAIRED	FieldRun1	2016-06-09	43	29	7	2014-07-26	Scheidec	SRR1524752	SRS665216	JE.Lundberg.188	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929008	MIMS.me	<not provided>	SRX660220	<not provided>	250	PAIRED	FieldRun1	2016-06-09	53	36	7	2014-07-26	Scheidec	SRR1524755	SRS665219	JE.Lundberg.189	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929009	MIMS.me	<not provided>	SRX660222	<not provided>	250	PAIRED	FieldRun1	2016-06-09	55	37	8	2014-07-26	Scheidec	SRR1524757	SRS665220	JE.Lundberg.190	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929010	MIMS.me	<not provided>	SRX660224	<not provided>	250	PAIRED	FieldRun1	2016-06-09	47	31	8	2014-07-26	Scheidec	SRR1524759	SRS665222	JE.Lundberg.191	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929011	MIMS.me	<not provided>	SRX660225	<not provided>	250	PAIRED	FieldRun1	2016-06-09	30	20	8	2014-07-26	Scheidec	SRR1524761	SRS665224	JE.Lundberg.192	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	38.83583 N 121.56778 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929808	MIMS.me	Glab_E	SRX660246	JE.Soil.138	250	PAIRED	GHRun1	2016-06-09	37	22	<not provided>	2014-07-26	<not provided>	SRR1524656	SRS665245	JE.Soil.138	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Sacramento, California	Oryza sativa	38.58575 N 121.596911 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
